frmAudioEngine.frmAudioEngine	Audio Engine	音频引擎
frmAudioEngine.lblBitRate	Bit Rate:	比特率：
frmAudioEngine.lblSampleRate	Sample Rate:	采样率：
frmAudioEngine.lblLastError	Last Error:	最后一个错误：
frmAudioEngine.lblMixingErrors	Mixing Errors:	混合错误：
frmAudioEngine.lblStatus	Status:	状态：
frmmain.cmdRestartM	Restart	重新开始
frmmain.cmdFTB	FTB	的FTB
frmmain.cmdQuickPlay	Quick Play	快速播放
frmmain.cmdCut	Cut	切
frmmain.cmdFade	Fade	褪色
frmmain.cmdEffect	Zoom	缩放
frmmain.cmdFade2	Wipe	擦除
frmmain.cmdFade4	Slide	滑动
frmmain.cmdRestart	Restart	重新开始
frmmain.cmdConfirmYes	YES	是
frmmain.lblConfirm	Close input?	关闭输入？
frmmain.cmdList	List	名单
frmmain.cmdReplay	Instant Replay	即时重播
frmmain.cmdAudioMixer	Audio Mixer	调音台
frmmain.cmdPlaylist	PlayList	播放列表
frmmain.cmdMultiCorderStartStop	MultiCorder	MultiCorder
frmmain.cmdStreaming	Stream	流
frmmain.cmdDeckLinkRender	External	外部
frmmain.cmdRecStartStop	Record	记录
frmmain.cmdAddInput	Add Input	添加输入
frmmain.cmdOverlaySettings	Overlay	覆盖
frmmain.lblPreset	Preset	预置
frmmain.cmdOpen	Open	开放
frmmain.cmdSave	Save	保存
frmmain.cmdClose	New	新
frmmain.cmdLastPreset	Last	最后
frmmain.cmdScreen	Fullscreen	全屏
frmmain.pctSRT	SRT	SRT
frmmain.pctRec	REC	REC
frmmain.pctExt	EXT	EXT
frmmain.pctStream	STREAM 1	流1
frmmain.pctSolo	SOLO	ONLY
frmmain.cmdSettings	Settings	设置
frmmain.cmdPause	Pause Inputs	暂停输入
frmmain.cmdAdvanced	Advanced	先进
frmAudioSettings.frmAudioSettings	Audio Settings	音频设置
frmAudioSettings.lblMilliseconds	milliseconds	毫秒
frmAudioSettings.lblDelay	Delay	延迟
frmAudioSettings.cmdReset	Reset	重置
frmAudioSettings.cmdResetGain2	Reset	重置
frmAudioSettings.lblGain2	Gain 2	获得2
frmAudioSettings.chkAGC	Automatic Gain Control	自动增益控制
frmAudioSettings.lblGain	Gain	获得
frmAudioSettings.cmdResetGain	Reset	复位
frmAudioSettings.lblHardwareVolume	Device Volume	设备音量
frmAudioSettings.chkAudioPad	-20 dB Pad	-20 dB打击垫
frmAudioSettings.lblAudioChannel	Channel	渠道
frmAudioSettings.lblAudioFormat	Format	格式
frmAudioSettings.lblName	Name	名称
frmAudioSettings.cmdMatrixDelete	Delete	删除
frmAudioSettings.cmdMatrixAdd	Add	加
frmAudioSettings.lblMatrixPreset	Preset	预设值
frmAudioSettings.mtxLabel	UiMatrixLabel1	UiMatrixLabel1
frmAudioSettings.lblMasterR	Master R	法师 -  [R
frmAudioSettings.mtxChannelMatrix	UiMatrix1	UiMatrix1
frmAudioSettings.lblHR	Headphones R	耳机R
frmAudioSettings.lblMasterL	Master L	大师
frmAudioSettings.lblHL	Headphones L	耳机L
frmAudioSettings.cmdShowEditor	Show Editor	显示编辑器
frmAudioSettings.cmdResetEQ	Reset	重置
frmAudioSettings.chkEnableEQ	Enable EQ	启用EQ
frmAudioSettings.chkEnableGate	Enable Noise Gate	启用噪声门
frmAudioSettings.lblGateThreshold	Threshold	门槛
frmAudioSettings.cmdGateReset	Reset	重置
frmAudioSettings.lblDB	dBFS	dBFS的
frmAudioSettings.lblPost	Post	岗位
frmAudioSettings.UiMeterLabel1	UiMeterLabel1	UiMeterLabel1
frmAudioSettings.lblRightPeak	-Inf	-Inf
frmAudioSettings.lblLeftPeak	-Inf	-Inf
frmAudioSettings.vRight	VuMeterVertical1	VuMeterVertical1
frmAudioSettings.vLeft	VuMeterVertical1	VuMeterVertical1
frmAudioSettings.lblPre	Pre	为
frmAudioSettings.lblPreRightPeak	-Inf	-Inf
frmAudioSettings.lblPreLeftPeak	-Inf	-Inf
frmAudioSettings.vRightPre	VuMeterVertical1	VuMeterVertical1
frmAudioSettings.vLeftPre	VuMeterVertical1	VuMeterVertical1
frmAudioSettings.chkEnableCompressor	Enable Compressor	启用压缩机
frmAudioSettings.cmdResetCompressorRatio	Reset	复位
frmAudioSettings.lblCompressor	Ratio	比
frmAudioSettings.lblCompressorThreshold	Threshold	门槛
frmAudioSettings.cmdResetThreshold	Reset	重置
frmAudioSettings.chkVisible	Visible in Mixer	在混音器中可见
frmAudioSettings.cmdClose	Close	关闭
frmAudioSettings.tMenu.General	General	一般
frmAudioSettings.tMenu.Plugins	Plugins	插件
frmAudioSettings.tMenu.Compressor	Compressor	压缩机
frmAudioSettings.tMenu.Noise Gate	Noise Gate	噪声门
frmAudioSettings.tMenu.Channel Mixer	Channel Mixer	通道混合器
frmAudioSettings.tMenu.Channel Matrix	Channel Matrix	频道矩阵
frmAudioSettings.cmdResetDynamics	Reset	重启
frmAudioSettings.lblDynAttack	Attack milliseconds	攻击毫秒
frmAudioSettings.lblDynLowThreshold	Low Threshold	低阈值
frmAudioSettings.lblDynLow	Low	低
frmAudioSettings.lblDynHigh	High	高
frmAudioSettings.chkEnableDynamics	Enable Dynamics	启用动态
frmBlockedFilterList.frmBlockedFilterList	DirectShow Blocked Filter List	DirectShow的阻止筛选器列表
frmBlockedFilterList.cmdCancel	Cancel	取消
frmBlockedFilterList.lblInfo	Any filters checked in the list below will not be used by vMix.	在下面的列表中选中的任何过滤器将无法使用vMix。
frmColourSelect.frmColourSelect	Colour Select	颜色选择
frmColourSelect.lblInfo	Click on a neutral colour from the image below. A neutral colour should reflect all light evenly (a grey sheet of cardboard, for example)	点击从下面的图像中的中性色。中性色应反映所有光线均匀（灰色的纸板表，例如）
frmError.frmError	vMix Error	vMix错误
frmError.lblMessage	Error Message	错误信息
frmError.cmdSendErrorReport	Send Error Report	发送错误报告
frmError.cmdClose	Close	关闭
frmfull.frmfull	Fullscreen	全屏
frmInput.frmInput	Input Select	输入选择
frmInput.chkRTMPInstanceURL	URL includes App Instance	URL包括应用实例
frmInput.chkInterlaced	Video is Interlaced	视频是隔行扫描
frmInput.chkImageSequence	Image Sequence	图像序列
frmInput.chkAlpha	Video contains Alpha Channel	视频包含Alpha通道
frmInput.lblRTMPMilliseconds	milliseconds	毫秒
frmInput.lblRTMPBuffer	RTMP Buffer:	RTMP的缓冲区：
frmInput.lblFlashResolution	Resolution:	决议：
frmInput.cmdClear	Clear	清除
frmInput.cmdBrowse	Browse	浏览
frmInput.tAudio	Aud	AUD
frmInput.tImage	Img	图
frmInput.tPhotos	Phot	照片
frmInput.tPowerpoint	PPT	PPT
frmInput.tDVD	DVD	DVD
frmInput.tCapture	Cap	采集
frmInput.chkCameraAudioEnabled	Audio Enabled	启用音频
frmInput.chkCaptureInterlaced	Interlaced	隔行扫描
frmInput.lblAudioInput	Audio Input:	音频输入：
frmInput.lblVideoFormat	Video Format:	视频格式：
frmInput.lblAudioFormat	Audio Format:	音频格式：
frmInput.lblAudioDevice	Audio Device:	音频设备：
frmInput.chkVMR	Use VMR	使用VMR
frmInput.lblCapture	Camera:	摄像头：
frmInput.lblSystem	Frame Rate:	帧速率：
frmInput.lblInput	Input:	输入：
frmInput.lblResolution	Resolution:	决议：
frmInput.tNetwork	Desk	桌面
frmInput.lblDesktopCaptureWindowType	Window Capture Method	窗口捕捉方法
frmInput.cmdLocalDesktopTab	Local Desktop Capture	本地桌面捕捉
frmInput.cmdNDITab	NDI	NDI
frmInput.chkFEIM	FEIM	有限元
frmInput.chkNDIBuffer	Increase Buffer Size	增加缓冲区大小
frmInput.chkNDIPSF	PsF	在PsF
frmInput.chkAudioOnly	Audio Only	仅音频
frmInput.lnkNDI	http://NDI.NewTek.com/	http://NDI.NewTek.com/
frmInput.chkNDILowBandwidth	Low Bandwidth Mode	低带宽模式
frmInput.tAudioInput	AuI	AUI
frmInput.chkMuteHeadphones	Mute in Headphones	在耳机中静音
frmInput.lblAudioChannels	Audio Channels:	音频通道：
frmInput.lblAudioAudioFormat	Audio Format:	音频格式：
frmInput.lblAudioAudioDevice	Audio Device:	音频设备：
frmInput.tFlash	Fsh	FSH
frmInput.tVideoDelay	Del	延迟
frmInput.lblSaveCodec	Save Codec:	保存编解码器：
frmInput.lblSource	Source:	来源：
frmInput.lblSeconds	Seconds:	秒：
frmInput.lblVideoDelayResolution	Resolution:	决议：
frmInput.tTitle	Ttl	TTL
frmInput.tColour	Col	颜色
frmInput.rTransparent	Transparent	透明
frmInput.rColourBars	Colour Bars	彩条
frmInput.rColour	Colour	颜色
frmInput.tVideoList	Lst	LST
frmInput.chkListInterlaced	Selected video is interlaced	所选的视频是隔行扫描
frmInput.cmdClearVideoList	Clear	清除
frmInput.cmdRemove	Remove	清除
frmInput.cmdRandomise	Shuffle	拖曳
frmInput.cmdAdd	Add	加
frmInput.tVirtualSet	Virt	虚拟
frmInput.tRTSP	Strm	流
frmInput.lblSRTStreamID	Stream ID	流ID
frmInput.lblSRTKeyLength	Key Length	键长
frmInput.lblSRTDecoderDelay	Decoder Delay (ms)	解码器延迟（毫秒）
frmInput.chkSRTHWDecoder	Use Hardware Decoder	使用硬件解码器
frmInput.lblSRTPassPhrase	Passphrase	密码
frmInput.lblSRTLatencyMs	Latency (ms)	延迟（ms）
frmInput.chkStreamLowLatency	Low Latency Mode	低延时模式
frmInput.lblStreamMilliseconds	milliseconds	毫秒
frmInput.lblStreamBuffer	Buffer	缓冲区
frmInput.lblStreamType	Stream Type	码流类型
frmInput.lblStreamURL	URL	网址
frmInput.lblStreamPort	Port	端口
frmInput.cmdClearStream	Clear	清除
frmInput.chkGPUDisabled	Disable GPU Acceleration	禁用GPU加速
frmInput.lblBrowserVersion	Browser Version	浏览器版本
frmInput.cmdWBClear	Clear	明确
frmInput.lblWBHeight	Height	高度
frmInput.lblWBWidth	Width	宽度
frmInput.lblWBURL	URL	网址
frmInput.lnkVCDirect	More Information	更多信息
